Player,Age,G,GS,MP,FG,FGA,FGP,3P,3PA,3PP,2P,2PA,2PP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Fred VanVleet,28,24,24,36.8,6.1,15.8,0.386,2.8,8.4,0.332,3.3,7.3,0.449,0.475,4.1,4.8,0.868,0.5,3.3,3.8,6.3,1.7,0.5,1.9,2.8,19.1
OG Anunoby,25,26,26,36.7,7.1,14.9,0.475,1.5,4.7,0.331,5.5,10.2,0.541,0.527,3.3,3.9,0.833,1.4,4.5,5.8,2.1,2.4,0.8,2.5,3.0,19.0
Pascal Siakam,28,20,20,35.6,8.7,18.2,0.475,1.4,3.9,0.346,7.3,14.3,0.51,0.512,5.7,7.4,0.769,1.8,6.5,8.3,6.8,1.0,0.5,2.3,3.3,24.3
Scottie Barnes,21,27,26,33.7,6.0,13.2,0.452,1.1,3.5,0.326,4.8,9.7,0.498,0.496,1.9,2.5,0.75,1.8,5.0,6.8,4.7,0.9,0.7,2.4,1.7,15.0
Gary Trent Jr.,24,25,18,31.3,5.9,13.8,0.43,2.3,6.8,0.335,3.6,7.0,0.523,0.513,2.8,3.6,0.778,0.5,1.5,2.0,1.4,1.6,0.1,1.1,1.5,16.9
Chris Boucher,30,26,0,22.8,3.8,8.4,0.447,0.8,2.9,0.276,3.0,5.5,0.538,0.495,2.6,3.4,0.753,2.3,3.9,6.2,0.5,0.7,0.8,0.6,2.5,10.9
Precious Achiuwa,23,12,0,20.4,3.0,7.7,0.391,0.4,2.3,0.179,2.6,5.3,0.484,0.418,2.3,2.8,0.848,2.0,5.0,7.0,1.3,0.2,0.6,1.3,1.6,8.8
Juancho Hernangomez,27,19,5,18.9,1.8,3.7,0.5,0.6,2.0,0.316,1.2,1.7,0.719,0.586,0.3,0.6,0.455,0.9,3.3,4.2,0.8,0.5,0.2,0.6,1.4,4.6
Otto Porter Jr.,29,8,2,18.3,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,0.692,0.6,1.0,1.0,1.0,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5
Thaddeus Young,34,27,9,17.2,2.3,4.2,0.54,0.1,0.7,0.211,2.1,3.5,0.606,0.558,0.5,0.6,0.813,1.7,2.0,3.7,1.8,1.1,0.1,0.8,1.7,5.1
Christian Koloko,22,30,17,16.8,1.4,3.1,0.446,0.0,0.2,0.0,1.4,2.8,0.482,0.446,1.0,1.6,0.66,1.7,1.8,3.4,0.5,0.3,1.3,0.5,2.7,3.8
Malachi Flynn,24,18,1,13.3,2.4,5.6,0.426,1.3,2.8,0.48,1.1,2.8,0.373,0.545,0.6,0.7,0.846,0.4,1.1,1.4,1.2,0.4,0.1,0.6,1.5,6.7
Dalano Banton,23,22,2,10.1,2.0,4.7,0.423,0.6,2.0,0.302,1.4,2.8,0.508,0.486,0.6,0.8,0.824,0.4,1.0,1.5,1.2,0.5,0.5,0.6,1.1,5.2
Jeff Dowtin,25,9,0,7.4,1.0,2.0,0.5,0.1,0.4,0.25,0.9,1.6,0.571,0.528,0.1,0.1,1.0,0.4,0.7,1.1,0.9,0.0,0.1,0.1,0.4,2.2
Khem Birch,30,17,0,7.4,1.0,1.6,0.607,0.1,0.1,0.5,0.9,1.5,0.615,0.625,0.2,0.3,0.8,0.5,0.6,1.1,0.3,0.3,0.2,0.3,1.2,2.3
